WMOID STATION NAME                   YEAR MONTHS OF DATA AVAILABLE
94332 MT ISA AIRPOR                  1998 12
94346 LONGREACH AIRPORT              2004 12
94346 LONGREACH AIRPORT              1997 12
94367 MACKAY                         2004 12
94367 MACKAY                         2000 12
94380 GLADSTONE                      2005 5
94380 GLADSTONE                      2003 12
94380 GLADSTONE                      2001 12
94380 GLADSTONE                      2000 12
94380 GLADSTONE                      1999 12
94380 GLADSTONE                      1996 12
94380 GLADSTONE                      1995 1
94403 GERALDTON AP                   2002 12
94430 MEEKATHARRA AP                 2004 12
94461 GILES                          2000 12
94461 GILES                          1996 12
94510 CHARLEVILLE AP                 2005 5
94638 ESPERANCE                      2003 12
94638 ESPERANCE                      1997 12
94653 CEDUNA AP                      1996 12
94693 MILDURA AP                     2003 12
94693 MILDURA AP                     1999 12
94693 MILDURA AP                     1998 12
94711 COBAR                          2002 12
94711 COBAR                          1997 12
94802 ALBANY AP                      1997 12
94821 MT GAMBIER AP                  1998 12
94907 EAST SALE AD                   1997 12
94910 WAGGA AP                       1998 12
94996 NORFOLK ISLAND                 2005 5
96073 SIBOLGA PINANGSORI, SUM        2001 12
96073 SIBOLGA PINANGSORI, SUM        2000 12
96073 SIBOLGA PINANGSORI, SUM        1996 12
96145 TAREMPA, SUM                   2001 12
96413 KUCHING                        2005 5
96413 KUCHING                        1998 12
96413 KUCHING                        1996 12
96441 BINTULU                        2005 5
96441 BINTULU                        1999 12
96491 SANDAKAN                       2005 5
96491 SANDAKAN                       1998 12
96805 CILACAP, JAW                   2001 12
96996 COCOS ISLAND AMO CCK           2004 12
96996 COCOS ISLAND AMO CCK           1995 1
97146 KENDARI WOLTERMONGI SUL        1996 12
97560 BIAK MOKMER, IRJ               1995 1
97900 SAUMLAKI, MAL                  1995 1
89532 SYOWA                          2003 12
89532 SYOWA                          2001 12
89532 SYOWA                          1995 1
89564 MAWSON                         1998 12
89564 MAWSON                         1996 12
89571 DAVIS                          2002 12
89571 DAVIS                          1996 12
89592 MIRNYJ                         2003 12
89592 MIRNYJ                         2000 12
89592 MIRNYJ                         1995 1
89606 VOSTOK                         2004 12
89606 VOSTOK                         1998 12
89611 CASEY                          2000 12
89611 CASEY                          1998 12
91554 PEKOA AIRPORT                  1999 12
91554 PEKOA AIRPORT                  1997 12
91568 ANEITYUM                       1996 12
91577 KOUMAC                         2001 12
91643 FUNAFUTI                       2004 12
91643 FUNAFUTI                       2003 12
91643 FUNAFUTI                       2001 12
91643 FUNAFUTI                       2000 12
91643 FUNAFUTI                       1997 12
91650 ROTUMA                         2004 12
91650 ROTUMA                         2001 12
91652 UNDU POINT                     1999 12
91652 UNDU POINT                     1998 12
91652 UNDU POINT                     1995 1
91753 HIHIFO                         1998 12
91753 HIHIFO                         1997 12
91843 RAROTONGA                      2000 12
91925 ATUONA                         2005 5
91925 ATUONA                         2004 12
91925 ATUONA                         1998 12
91938 TAHITI-FAAA                    2002 12
91943 TAKAROA                        1999 12
91943 TAKAROA                        1996 12
91945 HEREHERETUE                    1995 1
91948 RIKITEA                        2000 12
91948 RIKITEA                        1999 12
91958 RAPA                           2003 12
91958 RAPA                           2002 12
92044 MOMOTE MO                      1998 12
93292 GISBORNE AD                    2000 12
93292 GISBORNE AD                    1998 12
93417 PARAPARAUMU AD                 2000 12
93987 CHATHAM ISLAND                 2000 12
93987 CHATHAM ISLAND                 1999 12
93994 RAOUL ISLKERMADEC              2005 5
93994 RAOUL ISLKERMADEC              2001 12
94120 DARWIN AIRPORT                 2003 12
94120 DARWIN AIRPORT                 1995 1
94150 GOVE AIRPORT                   2002 12
94170 WEIPA AMO                      2000 12
94170 WEIPA AMO                      1997 12
94212 HALLS CREEK                    2005 5
94212 HALLS CREEK                    2004 12
94212 HALLS CREEK                    1995 1
94238 TENNANT CREEK                  1995 1
94299 WILLIS ISLAND                  2002 12
94300 CARNARVON AIRPORT              2004 12
94300 CARNARVON AIRPORT              2002 12
94300 CARNARVON AIRPORT              1999 12
94300 CARNARVON AIRPORT              1996 12
94300 CARNARVON AIRPORT              1995 1
94302 LEARMONTH AIR                  2003 12
94302 LEARMONTH AIR                  2002 12
94302 LEARMONTH AIR                  1997 12
94312 PORT HEDLAND AMO               1999 12
94312 PORT HEDLAND AMO               1996 12
94312 PORT HEDLAND AMO               1995 1
94326 ALICE SPRINGS                  2002 12
86440 MELO                           2004 12
86440 MELO                           1999 12
86490 MERCEDES                       2005 5
86490 MERCEDES                       2004 12
86490 MERCEDES                       2003 12
86490 MERCEDES                       1997 12
86565 ROCHA                          1995 1
87007 LA QUIACA OBS                  1999 12
87047 SALTA AE                       2003 12
87078 LAS LOMITAS                    1997 12
87078 LAS LOMITAS                    1995 1
87129 SANTIAGO DEL ESTERO            2002 12
87129 SANTIAGO DEL ESTERO            1996 12
87155 RESISTENCIA AERO               2004 12
87257 CERES AE                       1996 12
87270 RECONQUISTA AERO               2005 5
87270 RECONQUISTA AERO               1999 12
87270 RECONQUISTA AERO               1995 1
87305 JACHAL                         1996 12
87344 CORDOBA AE                     2002 12
87374 PARANA AE                      2001 12
87374 PARANA AE                      1995 1
87418 MENDOZA AE                     2001 12
87418 MENDOZA AE                     1999 12
87534 LABOULAYE                      1998 12
87544 PEHUAJO AERO                   2001 12
87544 PEHUAJO AERO                   2000 12
87623 SANTA ROSA AERO                1997 12
87623 SANTA ROSA AERO                1996 12
87692 MAR DEL PLATA                  1995 1
87715 NEUQUEN                        2000 12
87715 NEUQUEN                        1997 12
87803 ESQUEL AE                      2000 12
87828 TRELEW AE                      2002 12
87860 COMODORO RIVADAVIA             2004 12
87925 RIO GALLEGOS                   2005 5
88968 BASE ORCADAS                   1998 12
88968 BASE ORCADAS                   1996 12
89002 NEUMAYER                       1999 12
89050 BELLINGSHAUSEN                 2002 12
89050 BELLINGSHAUSEN                 1997 12
89055 BASE MARAMBIO (CENTRO MET. ANT 2005 5
89055 BASE MARAMBIO (CENTRO MET. ANT 1997 12
89056 PRESIDENTE EDUARDO FREI        2005 5
89056 PRESIDENTE EDUARDO FREI        1998 12
89056 PRESIDENTE EDUARDO FREI        1995 1
89063 VERNADSKY                      2000 12
89063 VERNADSKY                      1999 12
85406 ARICA                          2003 12
85406 ARICA                          1999 12
85442 ANTOFAGASTA                    1999 12
85469 ISLA DE PASCUA                 2002 12
85488 LA SERENA                      2003 12
85585 ISLA JUAN FERNANDEZ            1998 12
85585 ISLA JUAN FERNANDEZ            1997 12
85629 CURICO                         1998 12
85799 PUERTO MONTT                   2005 5
85799 PUERTO MONTT                   2004 12
85799 PUERTO MONTT                   2002 12
85799 PUERTO MONTT                   1995 1
85874 BALMACEDA                      2001 12
85934 PUNTA ARENAS                   2005 5
85934 PUNTA ARENAS                   2003 12
86086 PUERTO CASADO                  1999 12
86297 ENCARNACION                    2002 12
86297 ENCARNACION                    2000 12
86297 ENCARNACION                    1996 12
86330 ARTIGAS                        2005 5
86330 ARTIGAS                        1995 1
82571 BARRA DO CORDA                 1999 12
82586 QUIXERAMOBIM                   1995 1
82704 CRUZEIRO DO SUL                2000 12
82704 CRUZEIRO DO SUL                1996 12
82825 PORTO VELHO                    1998 12
82825 PORTO VELHO                    1996 12
83064 PORTO NACIONAL                 2003 12
83064 PORTO NACIONAL                 1996 12
83229 SALVADOR                       2003 12
83229 SALVADOR                       2002 12
83236 BARREIRAS                      1999 12
83264 VERA (GLEBA CELESTE)           1997 12
83264 VERA (GLEBA CELESTE)           1996 12
83498 CARAVELAS                      2003 12
83498 CARAVELAS                      2001 12
83498 CARAVELAS                      1998 12
83618 TRES LAGOAS                    2000 12
83650 TRINDADE ILHA                  2000 12
83781 SAO PAULO                      2000 12
83842 CURITIBA                       1997 12
83842 CURITIBA                       1996 12
84377 IQUITOS                        2001 12
84455 TARAPOTO                       2005 5
78767 PUERTO LIMON                   2002 12
78767 PUERTO LIMON                   1995 1
78897 LE RAIZET, GLP                 1999 12
78897 LE RAIZET, GLP                 1997 12
78897 LE RAIZET, GLP                 1996 12
80001 SAN ANDRES                     2004 12
80222 BOGOTA ELDORADO                1998 12
80222 BOGOTA ELDORADO                1997 12
80259 CALI ALFONSO BONILLO           2004 12
80423 GUIRIA                         2001 12
80423 GUIRIA                         2000 12
80425 MENE GRANDE                    2001 12
80450 SAN FERNANDO DE APURE          2004 12
81405 CAYENNE ROCHAMBEAU GUF         1995 1
82024 BOA VISTA                      1996 12
82106 SAO GABRIEL DA CACHOEIR        1997 12
82106 SAO GABRIEL DA CACHOEIR        1996 12
82331 MANAUS                         1999 12
82331 MANAUS                         1998 12
72576 LANDER AP                      1998 12
72578 POCATELLO RGNL AP              2000 12
72578 POCATELLO RGNL AP              1999 12
72654 HURON AP                       1998 12
72688 PENDLETON E OR RGNL AP         2005 5
72688 PENDLETON E OR RGNL AP         2003 12
72712 CARIBOU WFO                    2005 5
72712 CARIBOU WFO                    2001 12
72712 CARIBOU WFO                    1999 12
72743 MARQUETTE WSO AP               2000 12
72772 HELENA AP ASOS                 2002 12
72772 HELENA AP ASOS                 1999 12
74492 BLUE HILL                      2002 12
74492 BLUE HILL                      1997 12
76393 MONTERREY, NL                  2004 12
76393 MONTERREY, NL                  2001 12
76405 LA PAZ, BCS                    1999 12
76405 LA PAZ, BCS                    1997 12
76405 LA PAZ, BCS                    1995 1
76458 COLONIA JUAN CARRAS, SIN       1999 12
76458 COLONIA JUAN CARRAS, SIN       1997 12
76654 MANZANILLO, COL                2003 12
76654 MANZANILLO, COL                1995 1
78073 NASSAU AIRPORT                 2005 5
